channel_id,public_name,genre
UCvpHzqdDr1zvtaW8BaVegzw,oficialzodiacs,rock
UCYXCt3TYSfZHgxjXUVN8wTA,JXN,pop
UChOQUXRRV04p9nDJmfuX9pA,Navet,dance
UCHpttVC36T04Tt6CFTk04xg,chiodos,metal
UCnSR7_Oq-MdsZxfogsfk-Ug,Tommy Boy,urban
UCBbNLJYfHtvr0oL6KGTD5Jg,JamesBluntVideos,pop
UCTTLucQxeyeIVN2wvoq4VKA,Just Good Entertainment,pop
UC0YlhwQabxkHb2nfRTzsTTA,Galantis,dance
UCoGbSChtzhQ4r1toYPmeiSA,Hayley Williams,pop
UCQWrm870Bjve47na1kpRC8A,Libatiba Kinderlieder,pop
UCv7lvPHrCG7TbnzUMdyF_hw,Edyta Bartosiewicz,pop
UCa6SeA6ndz5qCDKe9i8Uz2w,Antonio Rico,urban
UClKo_3cywEwAUssQlgj4zTw,NeverTheStrangers,pop
UCEiMth-oNMR8W9l7eyXrnyg,kawakamidaisukeTV,pop
UCbZZxHNd2xuy6oJw3lM11sg,The Darcys,pop
UCtcCOffN9YQdP6ntldTrsjg,MudcrutchMusic,rock
UC8_4ZdprsI28CvLr_nbBDHw,Smolasty,urban
UC1qOCLTkxjoNo1zbcFCPG7g,XiuXiuForLife,rock
UCaJcr5F3KupZHec-5CGRV0A,White Reaper,rock
UCvqi_H233DRcm9t2axrIKnw,OPENSIDE,pop
UCY5y3Lg1fliZ5QDP6rvi2Mg,Adi Kowalski,pop
UC6aiCXg-0lUI19zJFrXpg6w,Alvaro Laguna,rock
UCbVdcdBeOBReaB_AoeOW2hg,Cukierki,dance
UCYVUwUWeq7G5ogRGCuHVmxg,Carminho,latin
UCTGvupQMw-IokKJ6U9zFgjQ,Shoreline Mafia,urban
UCRKBOPAbUEumhOJW9PlKAhw,Mallory Merk,rock
UCow6kMXkOlu6VY9uOE5lTxg,Lil James,urban
UCLkwcZLUexrl-BTvfwxyYjQ,Lyrics On Lock - Urban,urban
UCUQ3N8hKKJk_Wnbb2dsYUGg,Wally Lopez,dance
UCDKogJlTzFcRdMyYFb3KZjw,Vicky Shu,pop
UCnLCCQe68LpSPWIwm-Dx14w,Alcatrazz Official,rock
UCXs7VmyrfBHw44yduDJ0U7w,LEISURE,rock
UCUu3CLnqUmc_8kyYZAt6rDQ,wbrnashville,country
UCNKQVWHxLcKbyJG_-P3emBQ,towatei_channel,pop
UCON3o22TD7h3hX2spFvbOWQ,Fatal Bazooka Officiel,urban
UCme6zy7-Y6cnxKYh6HvLwbw,Mina Caputo,metal
UCDafekoVSt9sbipi9bFH_yg,CuckooLander,rock
UC0-vndvhkXZqTjjodl_LLTg,ZazaFournierOfficiel,pop
UCOQJrPbVvVZhfrXIxEDoGxg,Bananarama Videos,pop
UCNp7bm10YsCDp4RAyKQrDkg,Jerome Van Den Hole,urban
UCjYu10yhatNOnpNF-02pO0Q,Norah Benatia,urban
UCj2B7n23OCnEhcUkPwUAsJA,weashumantv,rock
UCGDeDXhtQAE_KEh8B5MtjFw,Warner Music Colombia,latin
UCgT-HrM0_H2LHdo34o-TdRA,Walls,pop
UCE3-qhE90QcI2nrLskjIojQ,Michael Calfan,dance
UCC1wcYyx5vHHVuCFE1sYazA,Nyno Vargas,urban
UCORbV-zQhekaheFvcrDcBgg,Mixtapes,rock
UCxx57zbY9EMeKPPpBJ1Bt5A,ToutVaBien,pop
UC5zs1W8-iIni1LR47i5vXcA,attheskylinestv,rock
UCBQppeNrqfWkgsGGK--raJw,Thom Artway,pop
UCEFNzT2RoVqGkV4e3Osyx4A,piso21music,pop
UCcZsAfdEfN1UwMtoyNMTORw,Kaia Lana,pop
UCPEDmjFev-7xXuV1vTAE7Pw,LiigaMusicOy,urban
UC6ISn5wC5Zt_rgzsCX81wVw,Pacific,latin
UCdNmSqBXH6xFvNK61i0K-qQ,DOWN,metal
UCXzV-iv6cbua5gTyv-vY3Tw,Absofacto,pop
UC2jRBmlh3zG1l2wPXRpA-zQ,Lykke Li,pop
UC9h4PGPRsxAJmYM84k55sDA,Az Chike,urban
UCFvA-BA1RCkRAoqED6iTfQA,goldtyphoonmusichk,pop
UC3_wlMNxKBG4c_P39zFH6Hw,KREAM,urban
UCr8NEWXyE_ZT_rdaRhYJFAA,Kazik,pop
UC5D88arpFur8ofARcvZM4XA,JFDR,rock
UCmZF52VN_BTyPeZXGJAy4TQ,oficialbelenmoreno,pop
UC9Pj95_teh76aFkE909z9lA,Suara Kayu Official,pop
UCqNIXmETKXFMjOeVaI9OVOw,Los Secretos,latin
UCkEbimXpxJ1E-q8VcV9S3tw,Trijntje Oosterhuis,pop
UCLN-YTnK_48R0ZikVjQs5jQ,CrossroadsGuitar,rock
UCOnQA6eEYbZciI33OX4sY9Q,NataszaUrbanska,pop
UC8nidfOKkcgpO6tfc9OSdBQ,OWSLA,dance
UCSLQKylf_bibeVwMnBO1MRg,All Time Low,pop
UCwz27-w-tKfggAAMHfPv87A,Sanna Nielsen,pop
UCAHVrt4GYU5lmFwJun1iSDA,Tegan and Sara,pop
UCUEbHDslJapXJqPNkVOI0ag,Harlem,rock
UCeXZ2XJVOPka_GiaFUdOLvA,Bleeding Gods,metal
UCoHwisHb57mjyyNz5pLB8tg,Léa Paci,pop
UCYoYzoVWJGImZdL1ctdPlHg,Thomas Official,pop
UCw7r-Mlc2hBm16k5Sw6rDUQ,MarieMaiOfficielFR,pop
UC64i_jBk-Z5M2L67X98-ReQ,Brandon Jenner,pop
UCm09uYWfEygr5gWjDm9xmUA,Rod Stewart,rock
UCP1b9jYyEqiNhJi4GqYdovw,Warner Music México,latin
UCTyhC0OHQrywY5RjqH9R62g,Paula Cendejas,urban
UCW5bPOVKOxDBNlIQBacw6Ow,The Amity Affliction,metal
UCPMprzST1CU3Y16lsyDeyzQ,Okta Logue,rock
UCbOmdGuNF-dUQsIN_BO9JTw,WOW TV,pop
UCBQZwaNPFfJ1gZ1fLZpAEGw,twenty one pilots,pop
UCMFxFeLXsjGPlS8toc2E2Lg,rickmoranisofficial,country
UCclTdPbe_ru5iXlUNdlxK5w,Theo Lawrence & The Hearts,rock
UCGa5NF8eodXO2wFYxDMDybg,Follow The Cipher,metal
UCFKyVAVtPSJymdix_938kUQ,Phox Phox,rock
UC4RyedH4mBf4AaWNLZVfLMQ,ONR.,rock
UCtoUQvukM3Vqqjk3pORmH5w,Pardison Fontaine,urban
UCnHYKgU2bwSMt4reSitcjWQ,TheFallOfTroy,metal
UCabu6ZGMTWDsYiTg2yOo3uA,EveryAvenue,rock
UCQ2UiNpRtGtT3lBGc6mW36Q,raphaelmusicofficiel,rock
UCPIfsVyVsdL_8pa_nurKypg,Marcin Rozynek,pop
UCXgSpd4h26yxronX0O4mXIg,Pastora Soler Catálogo,pop
UC7cdEBfqSfIH62arlTi0GEQ,Ohana Bam,urban
