channel_id,total_subscribers
UCON3o22TD7h3hX2spFvbOWQ,72100
UCme6zy7-Y6cnxKYh6HvLwbw,3480
UCBQppeNrqfWkgsGGK--raJw,9120
UCgT-HrM0_H2LHdo34o-TdRA,237000
UCTGvupQMw-IokKJ6U9zFgjQ,1140000
UCUu3CLnqUmc_8kyYZAt6rDQ,5780
UCNp7bm10YsCDp4RAyKQrDkg,89
UCQWrm870Bjve47na1kpRC8A,830
UCv7lvPHrCG7TbnzUMdyF_hw,892
UCTTLucQxeyeIVN2wvoq4VKA,2940
UCxx57zbY9EMeKPPpBJ1Bt5A,1750
UCORbV-zQhekaheFvcrDcBgg,2030
UC0YlhwQabxkHb2nfRTzsTTA,3540000
UCbZZxHNd2xuy6oJw3lM11sg,2530
UCBbNLJYfHtvr0oL6KGTD5Jg,1920
UCnLCCQe68LpSPWIwm-Dx14w,4720
UCDKogJlTzFcRdMyYFb3KZjw,9260
UCGDeDXhtQAE_KEh8B5MtjFw,7000
UCRKBOPAbUEumhOJW9PlKAhw,1940
UCa6SeA6ndz5qCDKe9i8Uz2w,2980
UC1qOCLTkxjoNo1zbcFCPG7g,17600
UCj2B7n23OCnEhcUkPwUAsJA,18100
UCC1wcYyx5vHHVuCFE1sYazA,607000
UCbVdcdBeOBReaB_AoeOW2hg,1770
UCLkwcZLUexrl-BTvfwxyYjQ,64800
UCYVUwUWeq7G5ogRGCuHVmxg,33400
UCnSR7_Oq-MdsZxfogsfk-Ug,1970000
UCoGbSChtzhQ4r1toYPmeiSA,415000
UCY5y3Lg1fliZ5QDP6rvi2Mg,77
UC0-vndvhkXZqTjjodl_LLTg,3000
UC5zs1W8-iIni1LR47i5vXcA,354
UCvpHzqdDr1zvtaW8BaVegzw,22
UCYXCt3TYSfZHgxjXUVN8wTA,9380
UCDafekoVSt9sbipi9bFH_yg,830
UCUQ3N8hKKJk_Wnbb2dsYUGg,6230
UClKo_3cywEwAUssQlgj4zTw,11000
UC8_4ZdprsI28CvLr_nbBDHw,684000
UCaJcr5F3KupZHec-5CGRV0A,12100
UCOQJrPbVvVZhfrXIxEDoGxg,0
UCE3-qhE90QcI2nrLskjIojQ,42200
UCEiMth-oNMR8W9l7eyXrnyg,505
UCvqi_H233DRcm9t2axrIKnw,5480
UC6aiCXg-0lUI19zJFrXpg6w,22
UCHpttVC36T04Tt6CFTk04xg,31100
UCtcCOffN9YQdP6ntldTrsjg,5490
UChOQUXRRV04p9nDJmfuX9pA,28
UCjYu10yhatNOnpNF-02pO0Q,22
UCow6kMXkOlu6VY9uOE5lTxg,1790
UCXs7VmyrfBHw44yduDJ0U7w,22900
UCNKQVWHxLcKbyJG_-P3emBQ,0
UCUNj6X343VRMSvsMlFJBhWw,17
UCP1b9jYyEqiNhJi4GqYdovw,4130000
UCdNmSqBXH6xFvNK61i0K-qQ,49200
UCSLQKylf_bibeVwMnBO1MRg,594000
UCr8NEWXyE_ZT_rdaRhYJFAA,3290
UCclTdPbe_ru5iXlUNdlxK5w,4980
UCw7r-Mlc2hBm16k5Sw6rDUQ,5280
UCbOmdGuNF-dUQsIN_BO9JTw,2630000
UCEFNzT2RoVqGkV4e3Osyx4A,7380000
UC3_wlMNxKBG4c_P39zFH6Hw,92400
UCFvA-BA1RCkRAoqED6iTfQA,7320
UCUEbHDslJapXJqPNkVOI0ag,2230
UCmZF52VN_BTyPeZXGJAy4TQ,4230
UCPMprzST1CU3Y16lsyDeyzQ,1900
UCoHwisHb57mjyyNz5pLB8tg,46900
UCtoUQvukM3Vqqjk3pORmH5w,376000
UCPEDmjFev-7xXuV1vTAE7Pw,154000
UCTyhC0OHQrywY5RjqH9R62g,108000
UCabu6ZGMTWDsYiTg2yOo3uA,15400
UCkEbimXpxJ1E-q8VcV9S3tw,6620
UCYoYzoVWJGImZdL1ctdPlHg,31900
UC9h4PGPRsxAJmYM84k55sDA,40100
UCnHYKgU2bwSMt4reSitcjWQ,9650
UCGa5NF8eodXO2wFYxDMDybg,1970
UCXgSpd4h26yxronX0O4mXIg,3530
UCLN-YTnK_48R0ZikVjQs5jQ,30100
UC9Pj95_teh76aFkE909z9lA,75500
UCOnQA6eEYbZciI33OX4sY9Q,394
UC2jRBmlh3zG1l2wPXRpA-zQ,9060
UCScqhaGYlX98xPN7kwXtDkw,16300
UC64i_jBk-Z5M2L67X98-ReQ,14900
UCFKyVAVtPSJymdix_938kUQ,11200
UCQ2UiNpRtGtT3lBGc6mW36Q,21300
UC8nidfOKkcgpO6tfc9OSdBQ,2280000
UCwz27-w-tKfggAAMHfPv87A,107000
UCPIfsVyVsdL_8pa_nurKypg,435
UCMFxFeLXsjGPlS8toc2E2Lg,638
UCqNIXmETKXFMjOeVaI9OVOw,39900
UC4RyedH4mBf4AaWNLZVfLMQ,4440
UC5D88arpFur8ofARcvZM4XA,5540
UCcZsAfdEfN1UwMtoyNMTORw,125000
UCAHVrt4GYU5lmFwJun1iSDA,291000
UCm09uYWfEygr5gWjDm9xmUA,2960000
UCjX-A-sYXjfpQnx0zlACsRQ,4630
UCeXZ2XJVOPka_GiaFUdOLvA,264
UC7cdEBfqSfIH62arlTi0GEQ,33100
UCBQZwaNPFfJ1gZ1fLZpAEGw,12700000
UCW5bPOVKOxDBNlIQBacw6Ow,369000
UC6ISn5wC5Zt_rgzsCX81wVw,31
UCXzV-iv6cbua5gTyv-vY3Tw,145000
UCilN_FtjmaACskVQ8ySElJA,303000
UCkza4xuP29vsusl14aGGXVA,35800
UC1eAVVv2tf6i8bnrhkXuU2Q,1890
UC8X8LkEuz6b-KaX-VxpXQAQ,2810
UCd1NmZhNCrMoncLFLbHKucg,42
UCYLa9q1huuWRP97-uZ6xV_w,8720
UC1PqLslajCKhn8--O5RR5_w,8450
UCjIyFu2nFGZlpfF-LbBkZpg,85300
UC1HmBB2jzfVPAsEXDra4eoQ,868
UCSDxDFY5HnZAQsE5D9ZsFzg,42
UCiVS01HGMikZd0zAxcRveww,615
UC2bskCJnzDwoxyEbRXj4oBg,1920
UC1R2bdOjUbZiUawf5b_LVHg,910
UCP5XBwxXHHD0vBoWp5WTO5A,3730
UCoOzY0feZINyEk5Nw2-VLwg,54300
UCmajVHWDyvlGsNVZ9lT3q0Q,54800
UCWkBRcIJIJY4WxB3sW3Y6nA,4420
UCHxXS6EkA7wpKRr98E2dhhA,99
UCvOYoFzpDzvWUqlpzR1AL2Q,663
UCGAhdgBimAyKGJMBFK4NEfg,1150
UCLL49Ren_KdYn21dCE7NRng,103000
UC7jb7qY6Q-5Dk0_on5dfONg,16700
UCIASqTLwiN5N9RY2f68DNPQ,1590
UC2bX23CInJ_BxPVQclwPFBg,806
UCVVzbw3BNaAOxbCIIQqRj5w,8530
UC_FhqjUyjKr-3s01TtonEsw,1890
UCv0k03065eZlMDR5oqgPnnQ,17
UCai9Fo2Uj8qV6Sp97sE-DkQ,3360
UCdV4K0Yzdg5Uv1T8YgXBDoA,2550
UCffTBYhHLSeIVOrR6ZihRzg,2450
UCQnrxwwa0iXFal_NxfzwkXg,329
UCoWPcbkqIWosJZk6Netpibg,32600
UCbKSnxLmORz0kUdILw6On1g,33200
UCJfhiib6i5tVWVwEla-2K6w,3850
UCSIx9lyXYVzSNFX5afgJabg,70
UC34wpCgr3l9cG0RtFdTTS-Q,521000
UCtUdfHiWA1s29AfIRTyhlug,3060
UCEXumjxRVILZcSup2uXjvCw,1200
UCfLw-yks4g136XG3QKT1UTw,8490
UCdsgBD7n7tyBQTqpZssohiQ,152000
UCu3u8VDrmOTlTfeAMF9PLcA,414
UCFj6i28BalvuUldLDbr6UWw,978000
UCUQjnttodxhUN-TE2MvkhEw,913
UCwV26LFHrKA8-CmKOhc3ojQ,343
UCGESXaNIWbo7mJQ3PlzoL_A,620
UCR4sr6yHN_lgs5ZJt3XRJkA,242
UC0TobZSDyMaXaoVK_9TcPHA,709000
UCs97Psn1u1lJcLW2OP9OyrA,1750000
UCj8sFiFmI7qCQzJWgUSwj-Q,106000
UCR8rX9t3X9C-BwknWXR239g,24300
UCGsPswmbpeuwn3owrqqbhJw,128000
UClAZyJT7MW3YGNyMftTto4w,5040
UCoudsgL2L53Xs3tevwoWW4Q,3430
UCWVBfvVTf3UrPA-z5gos60w,512000
UCXR82zHJ6FuWccQQqxtNHyw,41100
UC4nstdiM_MVHCvC1mYHE3Ew,8670
UCMpXThMkTIBu0Fpn8SXv4VA,90
UC2H0ZAFcaGkvgup1b2rr8Qg,10400
UCDPM_n1atn2ijUwHd0NNRQw,22800000
UCXNtLQbLzr31-xARWCw3Vvg,11
UCrQIYwlh7PTqBedJsS5UvMQ,39700
UCe9GZ71MOPEs9b3I0fJYZgA,7720
UCWEtnEiVwUy7mwFeshyAWLA,5220000
UCYgJ2M1mq8Ae0QOm_VQU4VQ,751000
UCW6dDNgf_2FAJOJ3RhasrIA,226000
UCM10srINLaSQFrcDVmHV0gA,365000
UCJF0MASWYKOcY1DXsxA63yg,37100
UCujKAgn-LnkF6gEEuOJdHHA,576
UCc1ovgQn_hZFB-TypFOb8lg,5060
UCPqAhEF-PJ248gTaJBm9mPw,1970
UCKiTrdzRJHPcB1-0iTrbwkA,87900
UCpW8-XI3sVjLe9ADwoh8qiQ,49100
UCAeSmHGp5sf_4SyWb087Tow,53
UC-AjTAjvp7J-_QQJSENeZcw,350
UCtYCWZHChPLekVxvWTuJ9gw,2060
UCeekxg1vju_sjIK9KjJJLYg,1330000
UC_7YZ0EBzDcXPNhC482NPNA,13700
UClADD1Q5gb6oF1veGjEO77g,4490
UCp-TO3d-bVBUXNw741Jpoag,2560
UCAb60rVrvVQVfSgrX1UWb0g,1060000
UClXta6rWNKUztBhBC9WLQGg,3230
UCEmEVtPXopGzzVrpmhCXqbg,872
