channel_id,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes
UCnSR7_Oq-MdsZxfogsfk-Ug,522052670,1463708327,677196,137116,5014420,151296
UCTGvupQMw-IokKJ6U9zFgjQ,140639463,312591920,179846,11662,980595,30132
UC0YlhwQabxkHb2nfRTzsTTA,114312913,264817931,236301,48737,1374339,43679
UC8_4ZdprsI28CvLr_nbBDHw,107816340,230129585,174082,26974,1078626,106929
UCC1wcYyx5vHHVuCFE1sYazA,56636417,149201628,82230,24510,385494,19023
UCgT-HrM0_H2LHdo34o-TdRA,11573054,30765594,669,6243,223000,2201
UCoGbSChtzhQ4r1toYPmeiSA,9412769,24265846,73510,10897,248371,2603
UCLkwcZLUexrl-BTvfwxyYjQ,9175191,20199356,17366,2743,180287,6013
UCXs7VmyrfBHw44yduDJ0U7w,1560447,5321308,9487,697,37433,523
UCRKBOPAbUEumhOJW9PlKAhw,673864,1422690,913,289,2579,172
UCaJcr5F3KupZHec-5CGRV0A,651824,1778951,2276,304,6686,403
UCYVUwUWeq7G5ogRGCuHVmxg,644307,1708383,4981,221,8703,198
UCON3o22TD7h3hX2spFvbOWQ,542076,1235744,67,150,9135,278
UC1qOCLTkxjoNo1zbcFCPG7g,508849,1146846,8319,949,19976,263
UCUQ3N8hKKJk_Wnbb2dsYUGg,460245,1147895,14,103,4560,121
UCbZZxHNd2xuy6oJw3lM11sg,398857,798824,553,128,1465,67
UCDKogJlTzFcRdMyYFb3KZjw,327363,683339,1699,182,2792,164
UCnLCCQe68LpSPWIwm-Dx14w,305188,589086,1707,976,7784,368
UCtcCOffN9YQdP6ntldTrsjg,278408,937203,822,108,2620,179
UCQWrm870Bjve47na1kpRC8A,260686,519529,403,0,778,310
UCE3-qhE90QcI2nrLskjIojQ,259220,529816,1886,77,2848,221
UClKo_3cywEwAUssQlgj4zTw,186894,472934,1086,301,1825,37
UCUu3CLnqUmc_8kyYZAt6rDQ,173513,463520,545,147,2094,260
UCj2B7n23OCnEhcUkPwUAsJA,157464,375278,1838,40,2283,95
UCTTLucQxeyeIVN2wvoq4VKA,127711,385581,192,36,854,23
UCBbNLJYfHtvr0oL6KGTD5Jg,116788,236762,10,95,1846,29
UC0-vndvhkXZqTjjodl_LLTg,106268,266934,281,27,839,27
UCBQppeNrqfWkgsGGK--raJw,54119,115193,244,10,418,40
UCGDeDXhtQAE_KEh8B5MtjFw,49438,46897,163,36,448,51
UCvqi_H233DRcm9t2axrIKnw,39886,77995,361,10,432,41
UCme6zy7-Y6cnxKYh6HvLwbw,39543,106895,287,46,480,24
UCORbV-zQhekaheFvcrDcBgg,34987,30159,167,28,1037,19
UCxx57zbY9EMeKPPpBJ1Bt5A,28998,59163,114,17,277,16
UCbVdcdBeOBReaB_AoeOW2hg,19477,43439,96,11,186,10
UCow6kMXkOlu6VY9uOE5lTxg,13266,23915,136,12,223,7
UCYXCt3TYSfZHgxjXUVN8wTA,9571,17124,665,10,238,11
UCEiMth-oNMR8W9l7eyXrnyg,7486,18233,50,4,35,5
UC5zs1W8-iIni1LR47i5vXcA,5241,11686,32,8,108,3
UCDafekoVSt9sbipi9bFH_yg,5109,5194,62,3,60,6
UCHpttVC36T04Tt6CFTk04xg,4808,4914,4435,9,84,4
UCNp7bm10YsCDp4RAyKQrDkg,1515,1834,18,3,18,1
UChOQUXRRV04p9nDJmfuX9pA,285,381,1,0,5,0
UC6aiCXg-0lUI19zJFrXpg6w,111,245,2,0,1,0
UCvpHzqdDr1zvtaW8BaVegzw,16,25,3,0,0,0
UCa6SeA6ndz5qCDKe9i8Uz2w,0,0,86,0,0,0
UCjYu10yhatNOnpNF-02pO0Q,0,0,2,0,0,0
UCv7lvPHrCG7TbnzUMdyF_hw,0,0,6,0,0,0
UCP1b9jYyEqiNhJi4GqYdovw,700423923,2082628880,669761,97811,4098421,162080
UCEFNzT2RoVqGkV4e3Osyx4A,656669342,2042977844,620147,35229,2823581,104699
UCBQZwaNPFfJ1gZ1fLZpAEGw,544733919,1678311686,1483635,279475,8495296,106873
UCbOmdGuNF-dUQsIN_BO9JTw,484623152,1160347941,415673,67544,2781194,179117
UCm09uYWfEygr5gWjDm9xmUA,133859919,405490285,810996,29627,1138315,47013
UC8nidfOKkcgpO6tfc9OSdBQ,123742393,216682120,253860,17413,973412,103227
UCSLQKylf_bibeVwMnBO1MRg,24097899,61628629,103388,6438,297591,6152
UC3_wlMNxKBG4c_P39zFH6Hw,20730632,108612147,57361,9073,323000,6618
UCW5bPOVKOxDBNlIQBacw6Ow,16920154,51100553,35168,4722,172707,4244
UCtoUQvukM3Vqqjk3pORmH5w,14819478,38642960,32014,2048,122905,6801
UCXzV-iv6cbua5gTyv-vY3Tw,8967990,24982198,24567,1751,160011,1753
UCcZsAfdEfN1UwMtoyNMTORw,8364090,14027569,126209,4398,368572,3199
UCPEDmjFev-7xXuV1vTAE7Pw,7834743,21623611,3880,1273,28390,2394
UC9Pj95_teh76aFkE909z9lA,7696292,19035140,54119,4193,165944,1983
UCqNIXmETKXFMjOeVaI9OVOw,6970559,19096385,239,687,27569,2151
UC9h4PGPRsxAJmYM84k55sDA,4802490,8943509,9446,1960,86483,2250
UCAHVrt4GYU5lmFwJun1iSDA,3648045,9440616,14340,1810,47936,1133
UCwz27-w-tKfggAAMHfPv87A,2961888,6032357,13900,1058,53813,1090
UC7cdEBfqSfIH62arlTi0GEQ,2891804,5121856,6917,371,24873,620
UCLN-YTnK_48R0ZikVjQs5jQ,2428117,11249473,3640,327,17115,702
UCTyhC0OHQrywY5RjqH9R62g,1913403,4718140,6176,726,27971,523
UCdNmSqBXH6xFvNK61i0K-qQ,1277074,3550957,11347,413,15727,640
UCoHwisHb57mjyyNz5pLB8tg,1123983,2732568,3082,379,8804,353
UC4RyedH4mBf4AaWNLZVfLMQ,976350,2318147,1536,627,7353,207
UC2jRBmlh3zG1l2wPXRpA-zQ,826745,1678636,3389,507,28559,255
UCXgSpd4h26yxronX0O4mXIg,277362,697693,446,64,1652,133
UC64i_jBk-Z5M2L67X98-ReQ,248183,596945,1905,616,4560,66
UCUEbHDslJapXJqPNkVOI0ag,234807,641304,449,68,1427,81
UCclTdPbe_ru5iXlUNdlxK5w,229592,523630,750,76,2532,66
UC5D88arpFur8ofARcvZM4XA,132368,327578,1452,845,2502,50
UCw7r-Mlc2hBm16k5Sw6rDUQ,107566,252965,193,12,587,26
UCjX-A-sYXjfpQnx0zlACsRQ,77692,242999,433,19,658,65
UCScqhaGYlX98xPN7kwXtDkw,68450,141828,558,23,713,18
UCQ2UiNpRtGtT3lBGc6mW36Q,68316,143165,7460,18,500,37
UCkEbimXpxJ1E-q8VcV9S3tw,55787,107591,1758,7,646,22
UCYoYzoVWJGImZdL1ctdPlHg,40003,64749,535,13,386,9
UCFKyVAVtPSJymdix_938kUQ,37366,108786,362,28,580,42
UCabu6ZGMTWDsYiTg2yOo3uA,37125,87180,950,25,680,44
UCmZF52VN_BTyPeZXGJAy4TQ,37068,88404,141,18,347,19
UCPMprzST1CU3Y16lsyDeyzQ,32095,121400,177,33,418,10
UCGa5NF8eodXO2wFYxDMDybg,21840,63205,261,94,708,6
UCFvA-BA1RCkRAoqED6iTfQA,15475,48458,84,5,62,1
UCMFxFeLXsjGPlS8toc2E2Lg,4462,3254,30,1,29,2
UCnHYKgU2bwSMt4reSitcjWQ,1127,1170,2256,2,43,0
UC6ISn5wC5Zt_rgzsCX81wVw,668,1236,6,0,16,1
UCeXZ2XJVOPka_GiaFUdOLvA,368,498,26,0,7,0
UCUNj6X343VRMSvsMlFJBhWw,261,439,1,2,1,0
UCPIfsVyVsdL_8pa_nurKypg,205,202,4,0,0,0
UCOnQA6eEYbZciI33OX4sY9Q,0,0,1,0,0,0
UCr8NEWXyE_ZT_rdaRhYJFAA,0,0,2,0,0,0
UCs97Psn1u1lJcLW2OP9OyrA,131653958,283412022,339660,22651,1297644,33894
